[GC 71971K->17187K(140800K), 0.0023140 secs]
[GC 70435K->17195K(139264K), 0.0023200 secs]
[GC 68907K->17171K(137728K), 0.0022060 secs]
[GC 67347K->17139K(136704K), 0.0027100 secs]
[GC 66291K->17211K(135680K), 0.0023800 secs]
[GC 65339K->17211K(134656K), 0.0022660 secs]
[GC 64315K->17211K(133632K), 0.0023060 secs]
[GC 63291K->17211K(132608K), 0.0021900 secs]
[GC 62267K->17227K(131584K), 0.0022810 secs]
[GC 61259K->17227K(130560K), 0.0024740 secs]
[GC 60235K->17227K(129536K), 0.0023550 secs]
[GC 59211K->17227K(128512K), 0.0023010 secs]
[GC 58187K->17227K(127488K), 0.0022930 secs]
[GC 57163K->17235K(126464K), 0.0024780 secs]
[GC 56147K->17235K(125440K), 0.0022720 secs]
[GC 55123K->17235K(124928K), 0.0020730 secs]
[GC 54611K->17235K(124416K), 0.0023550 secs]
[GC 54099K->17259K(123904K), 0.0023050 secs]
[GC 53611K->17259K(131584K), 0.0022890 secs]
[GC 61291K->17227K(140800K), 0.0024890 secs]
[GC 70475K->17195K(139264K), 0.0028000 secs]
[GC 68907K->17267K(137728K), 0.0022510 secs]
[GC 67443K->17267K(136704K), 0.0022490 secs]
[GC 66419K->17267K(135680K), 0.0022910 secs]
[GC 65395K->17267K(134656K), 0.0023380 secs]
[GC 64371K->17275K(133632K), 0.0023190 secs]
[GC 63355K->17283K(132608K), 0.0022820 secs]
[GC 62339K->17283K(131584K), 0.0023310 secs]
[GC 61315K->17283K(130560K), 0.0022880 secs]
[GC 60291K->17299K(129536K), 0.0023170 secs]
[GC 59283K->17299K(128512K), 0.0021890 secs]
[GC 58259K->17299K(127488K), 0.0023720 secs]
[GC 57235K->17299K(135680K), 0.0023640 secs]
[GC 65427K->17299K(134656K), 0.0021590 secs]
[GC 64403K->17283K(133632K), 0.0024300 secs]
[GC 63363K->17315K(132608K), 0.0023510 secs]
[GC 62371K->17315K(131584K), 0.0023500 secs]
[GC 61347K->17315K(130560K), 0.0022990 secs]
[GC 60323K->17331K(129536K), 0.0024360 secs]
[GC 59315K->17331K(128512K), 0.0021680 secs]
[GC 58291K->17331K(127488K), 0.0023580 secs]
[GC 57267K->17339K(135680K), 0.0022900 secs]
[GC 65467K->17363K(134656K), 0.0022680 secs]
[GC 64467K->17363K(133632K), 0.0023010 secs]
[GC 63443K->17363K(132608K), 0.0023570 secs]
[GC 62416K->17363K(131584K), 0.0022720 secs]
[GC 61395K->17363K(130560K), 0.0022390 secs]
[GC 60371K->17371K(129536K), 0.0023620 secs]
[GC 59355K->17371K(128512K), 0.0022460 secs]
[GC 58331K->17371K(127488K), 0.0022750 secs]
[GC 57307K->17371K(135680K), 0.0023380 secs]
[GC 65499K->17387K(134656K), 0.0023250 secs]
[GC 64491K->17387K(133632K), 0.0023300 secs]
[GC 63467K->17355K(132608K), 0.0024480 secs]
[GC 62411K->17387K(131584K), 0.0023210 secs]
[GC 61419K->17395K(130560K), 0.0022910 secs]
[GC 60403K->17395K(129536K), 0.0022930 secs]
[GC 59379K->17395K(128512K), 0.0022750 secs]
[GC 58355K->17395K(127488K), 0.0023470 secs]
[GC 57331K->17395K(135680K), 0.0023870 secs]
[GC 65523K->17411K(134656K), 0.0022360 secs]
[GC 64515K->17411K(133632K), 0.0022550 secs]
[GC 63491K->17411K(132608K), 0.0022600 secs]
[GC 62467K->17347K(131584K), 0.0027450 secs]
[GC 61379K->17427K(130560K), 0.0023900 secs]
[GC 60435K->17427K(129536K), 0.0022440 secs]
[GC 59411K->17427K(128512K), 0.0022870 secs]
